Name,Code,Market,Marcap
유디엠텍,389680,KOSDAQ,999900000000
RF시스템즈,474610,KOSDAQ,999900000000
사이냅소프트,466410,KOSDAQ,999900000000
하나34호스팩,484130,KOSDAQ,999900000000
에스켐,475660,KOSDAQ,999900000000
엠오티,413390,KOSDAQ,999900000000
신한제15호스팩,487830,KOSDAQ,999900000000
쓰리빌리언,394800,KOSDAQ,999900000000
닷밀,464580,KOSDAQ,999900000000
노머스,473980,KOSDAQ,999900000000
에어레인,163280,KOSDAQ,999900000000
토모큐브,475960,KOSDAQ,999900000000
HEM파마,376270,KOSDAQ,999900000000
에이럭스,475580,KOSDAQ,999900000000
탑런토탈솔루션,336680,KOSDAQ,999900000000
성우,458650,KOSDAQ,999900000000
유진스팩11호,488060,KOSDAQ,999900000000
클로봇,466100,KOSDAQ,999900000000
에이치엔에스하이텍,044990,KOSDAQ,999900000000
웨이비스,289930,KOSDAQ,999900000000
씨메스,475400,KOSDAQ,999900000000
한켐,457370,KOSDAQ,999900000000
루미르,474170,KOSDAQ,999900000000
와이제이링크,209640,KOSDAQ,999900000000
인스피언,465480,KOSDAQ,999900000000
셀비온,308430,KOSDAQ,999900000000
제닉스로보틱스,381620,KOSDAQ,999900000000
차이커뮤니케이션,351870,KOSDAQ,999900000000
KB제30호스팩,486630,KOSDAQ,999900000000
아이언디바이스,464500,KOSDAQ,999900000000
미래에셋비전스팩7호,482680,KOSDAQ,999900000000
아이비젼웍스,469750,KOSDAQ,999900000000
아이스크림미디어,461300,KOSDAQ,999900000000
이엔셀,456070,KOSDAQ,999900000000
M83,476080,KOSDAQ,999900000000
티디에스팜,464280,KOSDAQ,999900000000
넥스트바이오메디컬,389650,KOSDAQ,999900000000
케이쓰리아이,431190,KOSDAQ,999900000000
유라클,088340,KOSDAQ,999900000000
교보16호스팩,482520,KOSDAQ,999900000000
뱅크웨어글로벌,199480,KOSDAQ,999900000000
아이빔테크놀로지,460470,KOSDAQ,999900000000
피앤에스로보틱스,460940,KOSDAQ,999900000000
엔에이치스팩31호,481890,KOSDAQ,999900000000
SK증권제13호스팩,473950,KOSDAQ,999900000000
엑셀세라퓨틱스,373110,KOSDAQ,999900000000
이베스트스팩6호,478110,KOSDAQ,999900000000
하스,450330,KOSDAQ,999900000000
이노스페이스,462350,KOSDAQ,999900000000
에이치브이엠,295310,KOSDAQ,999900000000
하이젠알앤엠,160190,KOSDAQ,999900000000
한국제15호스팩,479880,KOSDAQ,999900000000
에스오에스랩,464080,KOSDAQ,999900000000
미래에셋비전스팩6호,478440,KOSDAQ,999900000000
에이치엠씨제7호스팩,477340,KOSDAQ,999900000000
한중엔시에스,107640,KOSDAQ,999900000000
KB제29호스팩,478390,KOSDAQ,999900000000
미래에셋비전스팩5호,477470,KOSDAQ,999900000000
씨어스테크놀로지,458870,KOSDAQ,999900000000
디비금융스팩12호,477760,KOSDAQ,999900000000
라메디텍,462510,KOSDAQ,999900000000
그리드위즈,453450,KOSDAQ,999900000000
다원넥스뷰,323350,KOSDAQ,999900000000
미래에셋비전스팩4호,477380,KOSDAQ,999900000000
노브랜드,145170,KOSDAQ,999900000000
아이씨티케이,456010,KOSDAQ,999900000000
SK증권제12호스팩,473000,KOSDAQ,999900000000
코칩,126730,KOSDAQ,999900000000
민테크,452200,KOSDAQ,999900000000
카티스,140430,KOSDAQ,999900000000
디앤디파마텍,347850,KOSDAQ,999900000000
유안타제16호스팩,474490,KOSDAQ,999900000000
제일엠앤에스,412540,KOSDAQ,999900000000
